name,details,link
Willow,Young Male Shepherd Mix,https://www.petfinder.com/dog/willow-53230991/il/hainesville/wagging-hearts-il663/
Reba Mae,Young Female Coonhound Mix,https://www.petfinder.com/dog/reba-mae-54721763/il/round-lake/rockys-rescue-il985/
Monty,Young Male Husky & German Shepherd Dog Mix,https://www.petfinder.com/dog/monty-42682958/il/braidwood/perfect-paws-animal-rescue-il882/
Chance,Young Male Husky Mix,https://www.petfinder.com/dog/chance-55184497/il/mchenry/k9s4u-dog-rescue-il745/
Evelyn Dutton,Young Female Labrador Retriever Mix,https://www.petfinder.com/dog/evelyn-dutton-55137339/il/mchenry/k9s4u-dog-rescue-il745/
Luna,Young Female Terrier Mix,https://www.petfinder.com/dog/luna-55046424/il/mchenry/k9s4u-dog-rescue-il745/
SHANIA,Young Female Labrador Retriever & American Staffordshire Terrier Mix,https://www.petfinder.com/dog/shania-51416722/in/crown-point/lake-county-sheriffs-animal-control-adoption-center-in218/
Delilah,Young Female English Bulldog,https://www.petfinder.com/dog/delilah-55242108/in/lowell/child-and-pet-relief-fund-cpr-fund-in246/
Smith  ,Young Male American Staffordshire Terrier,https://www.petfinder.com/dog/smith-54016983/in/merrillville/the-pretty-pittie-committee-al499/
0112 Higgins AKA Waylon Cash,Young Male Australian Shepherd,https://www.petfinder.com/dog/0112-higgins-aka-waylon-cash-55162627/il/ringwood/midwest-australian-shepherd-rescue-inc-il983/
0105 Kota,Young Male German Shepherd Dog,https://www.petfinder.com/dog/0105-kota-54967071/il/ringwood/midwest-australian-shepherd-rescue-inc-il983/
Toby,Young Male Beagle,https://www.petfinder.com/dog/toby-54038563/il/wadsworth/midwest-brew-il336/
Toby,Young Male Beagle,https://www.petfinder.com/dog/toby-54038399/oh/toledo/midwest-beagle-rescue-education-welfare-oh169/
Boom Boom,Young Male Beagle,https://www.petfinder.com/dog/boom-boom-54875578/il/wonder-lake/animal-rescue-associates-inc-il566/
Snoopy,Young Male Hound & American Bully Mix,https://www.petfinder.com/dog/snoopy-53042973/in/lowell/tuff-dawgs-rescue-inc-in736/
Stella Pulaski,Young Female Carolina Dog & Shepherd Mix,https://www.petfinder.com/dog/stella-pulaski-52496148/in/lowell/tuff-dawgs-rescue-inc-in736/
Dave,Young Male Mixed Breed,https://www.petfinder.com/dog/dave-55085886/il/kankakee/kankakee-county-animal-control-and-adoption-center-il116/
Evee,Young Female Labrador Retriever Mix,https://www.petfinder.com/dog/evee-55150188/il/momence/river-valley-animal-rescue-il786/
Sasha,Young Female Labrador Retriever Mix,https://www.petfinder.com/dog/sasha-51478335/il/momence/river-valley-animal-rescue-il786/
Murray-IL,Young Male Labradoodle,https://www.petfinder.com/dog/murray-il-55170885/il/kirkland/idog-rescue-inc-tx1224/
Tilda,Young Female Basset Hound & Australian Cattle Dog / Blue Heeler Mix,https://www.petfinder.com/dog/tilda-55192902/il/kankakee/once-upon-a-prayer-il885/
Sapphire,Young Female Great Pyrenees & German Shepherd Dog Mix,https://www.petfinder.com/dog/sapphire-55155067/il/kankakee/k9-up-project-free-il963/
Arthur ,Young Male Labrador Retriever & Border Collie Mix,https://www.petfinder.com/dog/arthur-54277106/il/kankakee/once-upon-a-prayer-il885/
