name,details,link,img
Severin,Young Male German Shepherd Dog & Collie Mix,https://www.petfinder.com/dog/severin-55095881/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55095881/1/?bust=1648135405&width=300
Witty,Young Male American Staffordshire Terrier & Pointer Mix,https://www.petfinder.com/dog/witty-55082040/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55082040/1/?bust=1648050134&width=300
Flash,Young Male Black Labrador Retriever & American Staffordshire Terrier Mix,https://www.petfinder.com/dog/flash-55073793/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55073793/1/?bust=1647982577&width=300
Annie,Young Female Yellow Labrador Retriever & Pointer Mix,https://www.petfinder.com/dog/annie-54986290/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54986290/1/?bust=1647366290&width=300
Thomas,Young Male American Staffordshire Terrier & American Bulldog Mix,https://www.petfinder.com/dog/thomas-54985877/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54985877/1/?bust=1647364674&width=300
DeeDee,Young Female American Staffordshire Terrier & Plott Hound Mix,https://www.petfinder.com/dog/deedee-54902734/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54902734/1/?bust=1646765884&width=300
Arty,Young Male Black Labrador Retriever & American Staffordshire Terrier Mix,https://www.petfinder.com/dog/arty-54900192/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54900192/1/?bust=1646753582&width=300
Luna,Young Female Chocolate Labrador Retriever & Chesapeake Bay Retriever Mix,https://www.petfinder.com/dog/luna-54788700/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54788700/1/?bust=1646077859&width=300
Benny,Young Male Boxer & American Staffordshire Terrier Mix,https://www.petfinder.com/dog/benny-54788489/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54788489/1/?bust=1646076738&width=300
Mason,Young Male Treeing Walker Coonhound,https://www.petfinder.com/dog/mason-54786181/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54786181/1/?bust=1646062695&width=300
Ivan,Young Male Anatolian Shepherd & Great Pyrenees Mix,https://www.petfinder.com/dog/ivan-54757686/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54757686/1/?bust=1645824226&width=300
Ellie,Young Male American Staffordshire Terrier & Boxer Mix,https://www.petfinder.com/dog/ellie-54757381/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54757381/1/?bust=1645822584&width=300
Baxter,Young Male Black Labrador Retriever & Doberman Pinscher Mix,https://www.petfinder.com/dog/baxter-54714819/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54714819/1/?bust=1645567120&width=300
Arlo,Young Male American Staffordshire Terrier & Boxer Mix,https://www.petfinder.com/dog/arlo-54702494/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54702494/1/?bust=1645473213&width=300
Neil,Young Male Yellow Labrador Retriever,https://www.petfinder.com/dog/neil-54646612/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54646612/1/?bust=1645046073&width=300
Moana,Young Female American Staffordshire Terrier & Rhodesian Ridgeback Mix,https://www.petfinder.com/dog/moana-54642462/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54642462/1/?bust=1645034175&width=300
Dixie,Young Female Chocolate Labrador Retriever & Doberman Pinscher Mix,https://www.petfinder.com/dog/dixie-54631213/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54631213/1/?bust=1644958985&width=300
Snow,Young Female Yellow Labrador Retriever & Border Collie Mix,https://www.petfinder.com/dog/snow-54618919/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54618919/1/?bust=1644866000&width=300
Woody,Young Male American Staffordshire Terrier & Boxer Mix,https://www.petfinder.com/dog/woody-54584943/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54584943/1/?bust=1644530305&width=300
Hooper,Young Male American Staffordshire Terrier & Boxer Mix,https://www.petfinder.com/dog/hooper-54584219/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54584219/1/?bust=1648741141&width=300
Saydie,Young Female American Staffordshire Terrier & Boxer Mix,https://www.petfinder.com/dog/saydie-54581153/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54581153/1/?bust=1644515782&width=300
Lady,Young Female American Staffordshire Terrier & Boxer Mix,https://www.petfinder.com/dog/lady-54580377/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54580377/1/?bust=1644514895&width=300
Cassie,Young Female American Staffordshire Terrier & Chocolate Labrador Retriever Mix,https://www.petfinder.com/dog/cassie-54579039/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54579039/4/?bust=1646157825&width=300
Emmy,Young Female Chocolate Labrador Retriever & American Staffordshire Terrier Mix,https://www.petfinder.com/dog/emmy-54423230/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54423230/1/?bust=1646163625&width=300
Gracie,Young Female Boxer,https://www.petfinder.com/dog/gracie-54421891/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54421891/1/?bust=1646935317&width=300
Alfredo,Young Male Black Labrador Retriever & Pointer Mix,https://www.petfinder.com/dog/alfredo-54421386/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54421386/1/?bust=1643391224&width=300
Coco,Young Male Australian Shepherd,https://www.petfinder.com/dog/coco-54408867/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54408867/1/?bust=1643320239&width=300
Indiana,Young Male American Staffordshire Terrier & Boxer Mix,https://www.petfinder.com/dog/indiana-54135175/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54135175/1/?bust=1641578576&width=300
Bestboy,Young Male Great Dane & German Shepherd Dog Mix,https://www.petfinder.com/dog/bestboy-54132904/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54132904/1/?bust=1646155974&width=300
Sassy,Young Female Boxer,https://www.petfinder.com/dog/sassy-54004815/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54004815/1/?bust=1640375733&width=300
Bucky,Young Male American Staffordshire Terrier & Black Labrador Retriever Mix,https://www.petfinder.com/dog/bucky-53933507/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/53933507/1/?bust=1643147540&width=300
Snickers,Young Male American Staffordshire Terrier & American Bulldog Mix,https://www.petfinder.com/dog/snickers-53931600/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/53931600/1/?bust=1639757778&width=300
Pandora,Young Female American Staffordshire Terrier & Boxer Mix,https://www.petfinder.com/dog/pandora-53931334/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/53931334/1/?bust=1645207417&width=300
Flora,Young Female Mastiff Mix,https://www.petfinder.com/dog/flora-53911053/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/53911053/1/?bust=1644938861&width=300
Maha,Young Female Jindo Mix,https://www.petfinder.com/dog/maha-53911017/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/53911017/1/?bust=1646081707&width=300
Dude,Young Male American Staffordshire Terrier & American Bulldog Mix,https://www.petfinder.com/dog/dude-53910994/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/53910994/1/?bust=1639604743&width=300
Skittles,Young Female American Staffordshire Terrier & Boxer Mix,https://www.petfinder.com/dog/skittles-53862069/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/53862069/1/?bust=1639172967&width=300
Pippa,Young Female Yellow Labrador Retriever & American Staffordshire Terrier Mix,https://www.petfinder.com/dog/pippa-53673952/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/53673952/1/?bust=1637865567&width=300
J.R.,Young Male American Staffordshire Terrier & American Bulldog Mix,https://www.petfinder.com/dog/jr-53671753/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/53671753/1/?bust=1644346130&width=300
Pocus,Young Male German Shepherd Dog & Cattle Dog Mix,https://www.petfinder.com/dog/pocus-53642373/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/53642373/1/?bust=1645209226&width=300
Wonder,Young Female American Staffordshire Terrier & Boxer Mix,https://www.petfinder.com/dog/wonder-53520105/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/53520105/1/?bust=1644267607&width=300
Boo,Young Male American Staffordshire Terrier & Boxer Mix,https://www.petfinder.com/dog/boo-53388796/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/53388796/1/?bust=1635368564&width=300
Reeses,Young Male American Staffordshire Terrier & Australian Shepherd Mix,https://www.petfinder.com/dog/reeses-53340023/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/53340023/1/?bust=1644013303&width=300
Zeus,Young Male American Staffordshire Terrier & Boxer Mix,https://www.petfinder.com/dog/zeus-53311570/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/53311570/1/?bust=1634672765&width=300
Cherie,Young Female American Staffordshire Terrier & Boxer Mix,https://www.petfinder.com/dog/cherie-53298509/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/53298509/1/?bust=1640874970&width=300
Bell,Young Female American Staffordshire Terrier & American Bulldog Mix,https://www.petfinder.com/dog/bell-53241927/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/53241927/1/?bust=1644270615&width=300
Julian,Young Male Shetland Sheepdog / Sheltie & Pointer Mix,https://www.petfinder.com/dog/julian-53209034/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/53209034/1/?bust=1633719787&width=300
Brody,Young Male Australian Shepherd & Shetland Sheepdog / Sheltie Mix,https://www.petfinder.com/dog/brody-53110382/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/53110382/1/?bust=1632838945&width=300
Jasper,Young Male American Staffordshire Terrier & Australian Cattle Dog / Blue Heeler Mix,https://www.petfinder.com/dog/jasper-53101231/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/53101231/1/?bust=1632754190&width=300
Indie,Young Male Husky,https://www.petfinder.com/dog/indie-52717227/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52717227/1/?bust=1643210509&width=300
Lizzie,Young Female Yellow Labrador Retriever & Collie Mix,https://www.petfinder.com/dog/lizzie-52488591/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52488591/1/?bust=1627411969&width=300
Chevy,Young Male American Staffordshire Terrier & Boxer Mix,https://www.petfinder.com/dog/chevy-52291954/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52291954/1/?bust=1643148213&width=300
Bowie,Young Male Jindo,https://www.petfinder.com/dog/bowie-52282248/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52282248/1/?bust=1625767419&width=300
Coco Chanel,Young Female American Staffordshire Terrier & Yellow Labrador Retriever Mix,https://www.petfinder.com/dog/coco-chanel-52206739/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52206739/1/?bust=1625238243&width=300
Rusty,Young Male American Staffordshire Terrier & Cattle Dog Mix,https://www.petfinder.com/dog/rusty-51859482/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/51859482/1/?bust=1645210718&width=300
Poppy,Young Female Black Labrador Retriever & Husky Mix,https://www.petfinder.com/dog/poppy-51619088/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/51619088/1/?bust=1633626739&width=300
Rudy,Young Male Chocolate Labrador Retriever & Border Collie Mix,https://www.petfinder.com/dog/rudy-51541093/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/51541093/3/?bust=1646164328&width=300
Coraline,Young Female American Staffordshire Terrier & Yellow Labrador Retriever Mix,https://www.petfinder.com/dog/coraline-51466929/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/51466929/1/?bust=1644872282&width=300
Richochet,Young Male Australian Cattle Dog / Blue Heeler & Australian Shepherd Mix,https://www.petfinder.com/dog/richochet-51416983/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/51416983/1/?bust=1643215318&width=300
Samantha,Young Female Cattle Dog & American Staffordshire Terrier Mix,https://www.petfinder.com/dog/samantha-51416657/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/51416657/1/?bust=1620068189&width=300
Prudence,Young Female Australian Shepherd & Cattle Dog Mix,https://www.petfinder.com/dog/prudence-51170759/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/51170759/2/?bust=1633632974&width=300
Miss Piggy,Young Female American Staffordshire Terrier & Bull Terrier Mix,https://www.petfinder.com/dog/miss-piggy-51110291/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/51110291/2/?bust=1617561204&width=300
Alaba,Young Female American Staffordshire Terrier & Vizsla Mix,https://www.petfinder.com/dog/alaba-51093596/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/51093596/1/?bust=1644867984&width=300
Bella,Young Female American Staffordshire Terrier & Boxer Mix,https://www.petfinder.com/dog/bella-50844331/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/50844331/1/?bust=1644333141&width=300
Jimmy,Young Male American Bulldog & Boxer Mix,https://www.petfinder.com/dog/jimmy-50790845/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/50790845/1/?bust=1633467902&width=300
Buster,Young Male American Staffordshire Terrier & Boxer Mix,https://www.petfinder.com/dog/buster-50259520/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/50259520/6/?bust=1620157171&width=300
Sport,Young Male American Staffordshire Terrier & Border Collie Mix,https://www.petfinder.com/dog/sport-49706819/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/49706819/1/?bust=1604610445&width=300
Zoey,Young Female American Staffordshire Terrier & Basset Hound Mix,https://www.petfinder.com/dog/zoey-48939109/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/48939109/5/?bust=1598976409&width=300
Yale,Young Male German Shepherd Dog & Akita Mix,https://www.petfinder.com/dog/yale-47249023/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/47249023/1/?bust=1644270408&width=300
Huntley,Young Female German Shepherd Dog & Cattle Dog Mix,https://www.petfinder.com/dog/huntley-46300952/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46300952/1/?bust=1643209297&width=300
Ollie,Young Male Greyhound & Yellow Labrador Retriever Mix,https://www.petfinder.com/dog/ollie-45350887/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45350887/1/?bust=1646930155&width=300
Domino,Young Male Border Collie & Australian Shepherd Mix,https://www.petfinder.com/dog/domino-45250224/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/45250224/2/?bust=1563041784&width=300
Beau,Young Male Schnauzer & Labrador Retriever Mix,https://www.petfinder.com/dog/beau-44467502/il/huntley/animal-house-shelter-il192/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/44467502/1/?bust=1649795827&width=300
Sandy,Young Female Labrador Retriever Mix,https://www.petfinder.com/dog/sandy-54419238/il/genoa/the-barn-on-baseline-animal-shelter-adoption-center-il81/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54419238/1/?bust=1649812296&width=300
Latte,Young Female Hound & Coonhound Mix,https://www.petfinder.com/dog/latte-54908633/il/grayslake/homes-for-animal-heroes-il969/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54908633/1/?bust=1646783422&width=300
Rebel,Young Male Doberman Pinscher Mix,https://www.petfinder.com/dog/rebel-53330524/il/hainesville/wagging-hearts-il663/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/53330524/5/?bust=1644523881&width=300
Willow,Young Male Shepherd Mix,https://www.petfinder.com/dog/willow-53230991/il/hainesville/wagging-hearts-il663/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/53230991/1/?bust=1634007217&width=300
Reba Mae,Young Female Coonhound Mix,https://www.petfinder.com/dog/reba-mae-54721763/il/round-lake/rockys-rescue-il985/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54721763/1/?bust=1645631461&width=300
Monty,Young Male Husky & German Shepherd Dog Mix,https://www.petfinder.com/dog/monty-42682958/il/braidwood/perfect-paws-animal-rescue-il882/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/42682958/4/?bust=1543861319&width=300
Scout,Young Male Terrier & Hound Mix,https://www.petfinder.com/dog/scout-55294337/il/mchenry/k9s4u-dog-rescue-il745/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55294337/1/?bust=1649882507&width=300
Sadie,Young Female Australian Shepherd Mix,https://www.petfinder.com/dog/sadie-55287654/il/mchenry/k9s4u-dog-rescue-il745/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55287654/1/?bust=1649816696&width=300
Chance,Young Male Husky Mix,https://www.petfinder.com/dog/chance-55184497/il/mchenry/k9s4u-dog-rescue-il745/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55184497/6/?bust=1649380740&width=300
Evelyn Dutton,Young Female Labrador Retriever Mix,https://www.petfinder.com/dog/evelyn-dutton-55137339/il/mchenry/k9s4u-dog-rescue-il745/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55137339/1/?bust=1649295575&width=300
Luna,Young Female Terrier Mix,https://www.petfinder.com/dog/luna-55046424/il/mchenry/k9s4u-dog-rescue-il745/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55046424/2/?bust=1647808078&width=300
SHANIA,Young Female Labrador Retriever & American Staffordshire Terrier Mix,https://www.petfinder.com/dog/shania-51416722/in/crown-point/lake-county-sheriffs-animal-control-adoption-center-in218/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/51416722/4/?bust=1620069780&width=300
Delilah,Young Female English Bulldog,https://www.petfinder.com/dog/delilah-55242108/in/lowell/child-and-pet-relief-fund-cpr-fund-in246/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55242108/1/?bust=1649369815&width=300
Smith  ,Young Male American Staffordshire Terrier,https://www.petfinder.com/dog/smith-54016983/in/merrillville/the-pretty-pittie-committee-al499/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54016983/1/?bust=1640565382&width=300
0105 Kota,Young Male German Shepherd Dog,https://www.petfinder.com/dog/0105-kota-54967071/il/ringwood/midwest-australian-shepherd-rescue-inc-il983/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54967071/1/?bust=1649777278&width=300
Toby,Young Male Beagle,https://www.petfinder.com/dog/toby-54038563/il/wadsworth/midwest-brew-il336/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54038563/1/?bust=1640741179&width=300
Toby,Young Male Beagle,https://www.petfinder.com/dog/toby-54038399/oh/toledo/midwest-beagle-rescue-education-welfare-oh169/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54038399/1/?bust=1640740356&width=300
Boom Boom,Young Male Beagle,https://www.petfinder.com/dog/boom-boom-54875578/il/wonder-lake/animal-rescue-associates-inc-il566/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54875578/1/?bust=1646528034&width=300
Snoopy,Young Male Hound & American Bully Mix,https://www.petfinder.com/dog/snoopy-53042973/in/lowell/tuff-dawgs-rescue-inc-in736/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/53042973/1/?bust=1632238813&width=300
Stella Pulaski,Young Female Carolina Dog & Shepherd Mix,https://www.petfinder.com/dog/stella-pulaski-52496148/in/lowell/tuff-dawgs-rescue-inc-in736/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52496148/1/?bust=1627478517&width=300
Sasha,Young Female Labrador Retriever Mix,https://www.petfinder.com/dog/sasha-51478335/il/momence/river-valley-animal-rescue-il786/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/51478335/2/?bust=1623373366&width=300
Tilda,Young Female Basset Hound & Australian Cattle Dog / Blue Heeler Mix,https://www.petfinder.com/dog/tilda-55192902/il/kankakee/once-upon-a-prayer-il885/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55192902/1/?bust=1649368308&width=300
Sapphire,Young Female Great Pyrenees & German Shepherd Dog Mix,https://www.petfinder.com/dog/sapphire-55155067/il/kankakee/k9-up-project-free-il963/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55155067/1/?bust=1648658602&width=300
Arthur ,Young Male Labrador Retriever & Border Collie Mix,https://www.petfinder.com/dog/arthur-54277106/il/kankakee/once-upon-a-prayer-il885/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54277106/4/?bust=1642877496&width=300
Krystal,Young Female Catahoula Leopard Dog Mix,https://www.petfinder.com/dog/krystal-51693610/il/kankakee/k9-up-project-free-il963/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/51693610/1/?bust=1622151709&width=300
