name,details,link,img
Ginger,Young Female Hound & Shepherd Mix,https://www.petfinder.com/dog/ginger-54692197/il/aurora/rover-rescue-il244/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54692197/1/?bust=1645371050&width=300
Sadie,Young Female Shiba Inu & Husky Mix,https://www.petfinder.com/dog/sadie-54546913/il/aurora/rover-rescue-il244/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54546913/1/?bust=1646001935&width=300
Grant,Young Male Siberian Husky,https://www.petfinder.com/dog/grant-55166172/il/lockport/homes-for-huskies-siberian-husky-rescue-il301/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55166172/1/?bust=1648745242&width=300
Zazu,Young Male Siberian Husky,https://www.petfinder.com/dog/zazu-54135510/il/lockport/homes-for-huskies-siberian-husky-rescue-il301/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54135510/1/?bust=1648745702&width=300
Astro Boy ,Young Male Labrador Retriever & Shepherd Mix,https://www.petfinder.com/dog/astro-boy-55125214/il/orland-park/half-way-home-animal-rescue-il652/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55125214/6/?bust=1648381276&width=300
Girly Girl (Gigi),Young Female Labrador Retriever Mix,https://www.petfinder.com/dog/girly-girl-gigi-54798230/il/orland-park/half-way-home-animal-rescue-il652/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54798230/1/?bust=1646141855&width=300
Schnitzel,Young Male Dachshund Mix,https://www.petfinder.com/dog/schnitzel-55277854/il/schaumburg/chicagoland-dog-rescue-il188/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55277854/1/?bust=1649769100&width=300
Jones,Young Male Labrador Retriever Mix,https://www.petfinder.com/dog/jones-52984477/il/schaumburg/chicagoland-dog-rescue-il188/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52984477/1/?bust=1649117918&width=300
Ritz McBiggie,Young Male American Bully,https://www.petfinder.com/dog/ritz-mcbiggie-54771387/il/plainfield/k9-enrichment-initiative-inc-il867/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54771387/1/?bust=1647406557&width=300
 Izzy ,Young Female Hound Mix,https://www.petfinder.com/dog/izzy-54726494/il/plainfield/k9-enrichment-initiative-inc-il867/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54726494/1/?bust=1649519873&width=300
Bonnie,Young Female Jack Russell Terrier & American Staffordshire Terrier Mix,https://www.petfinder.com/dog/bonnie-54319774/il/plainfield/hedd-mutt-foundation-il878/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54319774/1/?bust=1642768105&width=300
Dolce,Young Male American Staffordshire Terrier Mix,https://www.petfinder.com/dog/dolce-54155197/il/chicago/chicago-pet-rescue-il655/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54155197/3/?bust=1649124796&width=300
Peachy,Young Female Labrador Retriever Mix,https://www.petfinder.com/dog/peachy-52606960/il/chicago/chicago-pet-rescue-il655/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/52606960/1/?bust=1649124244&width=300
Franky,Young Male American Staffordshire Terrier,https://www.petfinder.com/dog/franky-55009482/il/chicago/k94keeps-dog-rescue-il759/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55009482/1/?bust=1647530798&width=300
Reno,Young Male American Staffordshire Terrier,https://www.petfinder.com/dog/reno-53890534/il/chicago/k94keeps-dog-rescue-il759/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/53890534/1/?bust=1639429541&width=300
Cobe,Young Male Border Collie Mix,https://www.petfinder.com/dog/cobe-55242754/il/joliet/all-herding-breed-dog-rescue-il728/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/55242754/1/?bust=1649375077&width=300
Davis,Young Male Australian Cattle Dog / Blue Heeler & Australian Shepherd Mix,https://www.petfinder.com/dog/davis-54962702/il/joliet/all-herding-breed-dog-rescue-il728/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54962702/1/?bust=1647189586&width=300
Fred,Young Male Australian Cattle Dog / Blue Heeler,https://www.petfinder.com/dog/fred-54962651/il/joliet/all-herding-breed-dog-rescue-il728/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54962651/1/?bust=1647189084&width=300
Krissy,Young Female German Shepherd Dog,https://www.petfinder.com/dog/krissy-54929363/il/joliet/all-herding-breed-dog-rescue-il728/,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54929363/1/?bust=1646938068&width=300
